clear_text,task
"Move to the living room",0
"Go to the kitchen area",0
"Navigate to the bedroom",0
"Move to the dining room",0
"Head to the office space",0
"Go to the bathroom",0
"Put the book on the shelf",1
"Place the dishes in the cupboard",1
"Put the shoes in the closet",1
"Store the toys in the toy box",1
"Place the groceries on the kitchen table",1
"Put the keys on the key holder",1
"Pick up the clothes from the floor",2
"Grab the toys and put them in the basket",2
"Pick up the trash and throw it in the bin",2
"Lift the bags and carry them to the kitchen",2
"Pick up the fallen fruits from the table",2
"Grab the newspapers and recycle them",2
